iter	Passed	Remaining
412	3272	36346
413	3281	36349
414	3289	36338
415	3299	36354
416	3307	36348
417	3315	36347
418	3323	36332
419	3331	36326
420	3339	36316
421	3346	36303
422	3353	36289
423	3362	36289
424	3368	36266
425	3376	36256
426	3383	36235
427	3390	36218
428	3397	36197
429	3403	36177
430	3410	36157
431	3416	36131
432	3423	36111
433	3431	36099
434	3437	36076
435	3444	36060
436	3450	36024
437	3456	35998
438	3462	35978
439	3469	35959
440	3476	35944
441	3483	35920
442	3490	35901
443	3496	35877
444	3503	35858
445	3510	35841
446	3516	35820
447	3523	35805
448	3529	35776
449	3536	35758
450	3543	35740
451	3550	35723
452	3557	35708
453	3564	35694
454	3571	35677
455	3578	35660
456	3584	35635
457	3592	35630
458	3599	35613
459	3606	35596
460	3614	35583
461	3620	35566
462	3629	35565
463	3636	35546
464	3644	35541
465	3652	35537
466	3659	35524
467	3667	35510
468	3674	35498
469	3682	35493
470	3690	35490
471	3698	35479
472	3705	35466
473	3713	35455
474	3721	35448
475	3729	35443
476	3738	35451
477	3746	35443
478	3755	35442
479	3763	35436
480	3771	35429
481	3777	35409
482	3785	35398
483	3794	35408
484	3802	35398
485	3810	35391
486	3818	35387
487	3825	35370
488	3833	35363
489	3839	35343
490	3847	35336
491	3855	35323
492	3863	35321
493	3870	35305
494	3878	35295
495	3886	35287
496	3893	35273
497	3898	35244
498	3904	35217
499	3911	35202
500	3918	35186
501	3924	35167
502	3932	35155
503	3938	35131
504	3946	35124
505	3954	35121
506	3961	35107
507	3969	35100
508	3980	35118
509	3988	35113
510	3997	35116
511	4005	35112
512	4012	35093
513	4019	35083
514	4027	35071
515	4035	35071
516	4043	35065
517	4053	35075
518	4061	35070
519	4071	35073
520	4080	35075
521	4089	35082
522	4098	35084
523	4107	35084
524	4115	35081
525	4123	35074
526	4132	35075
527	4140	35070
528	4148	35064
529	4156	35059
530	4163	35039
531	4170	35023
532	4177	35013
533	4186	35012
534	4193	34998
535	4200	34986
536	4208	34974
537	4214	34952
538	4222	34947
539	4229	34930
540	4237	34929
541	4244	34913
542	4253	34909
543	4260	34896
544	4268	34888
545	4275	34875
546	4283	34872
547	4290	34859
548	4296	34837
549	4304	34828
550	4311	34813
551	4319	34805
552	4327	34796
553	4335	34795
554	4345	34800
555	4352	34788
556	4360	34780
557	4368	34777
558	4375	34764
559	4383	34753
560	4391	34750
561	4399	34741
562	4406	34727
563	4414	34724
564	4422	34712
565	4427	34688
566	4433	34658
567	4438	34632
568	4445	34618
569	4452	34603
570	4459	34587
571	4466	34577
572	4472	34552
573	4479	34541
574	4486	34526
575	4493	34509
576	4499	34492
577	4505	34469
578	4512	34456
579	4520	34449
580	4528	34442
581	4534	34423
582	4542	34419
583	4550	34408
584	4559	34409
585	4567	34401
586	4575	34400
587	4582	34386
588	4590	34381
589	4598	34375
590	4607	34372
591	4614	34362
592	4623	34358
593	4631	34351
594	4639	34346
595	4646	34334
596	4655	34336
597	4661	34317
598	4669	34305
599	4675	34290
600	4683	34282
601	4691	34273
602	4698	34261
603	4706	34253
604	4714	34248
605	4723	34250
606	4730	34235
607	4739	34237
608	4748	34234
609	4756	34228
610	4764	34223
611	4772	34217
612	4779	34202
613	4786	34190
614	4794	34181
615	4803	34184
616	4809	34163
617	4817	34159
618	4825	34152
619	4834	34150
620	4842	34144
621	4850	34142
622	4859	34140
623	4866	34130
624	4873	34116
625	4881	34110
626	4887	34086
627	4895	34080
628	4903	34071
629	4909	34054
630	4916	34044
631	4925	34040
632	4933	34033
633	4939	34012
634	4946	34003
635	4953	33988
636	4962	33986
637	4967	33965
638	4974	33946
639	4982	33941
640	4988	33920
641	4994	33906
642	5001	33892
643	5009	33880
644	5016	33869
645	5023	33858
646	5031	33853
647	5038	33838
648	5046	33829
649	5054	33826
650	5062	33819
651	5072	33826
652	5079	33814
653	5086	33803
654	5094	33793
655	5101	33779
656	5108	33772
657	5115	33759
658	5122	33742
659	5130	33735
660	5137	33724
661	5146	33721
662	5154	33718
663	5162	33714
664	5169	33699
665	5176	33685
666	5182	33663
667	5189	33652
668	5195	33636
669	5202	33622
670	5210	33615
671	5217	33603
672	5225	33594
673	5232	33582
674	5241	33581
675	5248	33569
676	5256	33562
677	5263	33552
678	5271	33546
679	5278	33534
680	5287	33535
681	5295	33528
682	5304	33528
683	5311	33512
684	5319	33507
685	5325	33491
686	5333	33483
687	5338	33460
688	5344	33442
689	5352	33433
690	5358	33413
691	5366	33408
692	5375	33406
693	5383	33403
694	5390	33390
695	5399	33391
696	5407	33380
697	5415	33376
698	5423	33372
699	5433	33378
700	5443	33380
701	5451	33378
702	5461	33384
703	5471	33391
704	5479	33383
705	5488	33380
706	5496	33378
707	5503	33360
708	5510	33353
709	5518	33343
710	5526	33335
711	5532	33318
712	5538	33302
713	5546	33292
714	5553	33285
715	5561	33275
716	5569	33269
717	5578	33267
718	5586	33263
719	5594	33258
720	5602	33249
721	5609	33237
722	5615	33218
723	5621	33203
724	5629	33194
725	5636	33182
726	5644	33177
727	5652	33169
728	5660	33163
729	5667	33151
730	5675	33145
731	5683	33136
732	5690	33127
733	5698	33120
734	5706	33111
735	5712	33095
736	5719	33082
737	5726	33071
738	5733	33057
739	5742	33055
740	5749	33046
741	5757	33039
742	5765	33034
743	5773	33026
744	5780	33015
745	5788	33005
746	5795	32994
747	5802	32984
748	5809	32971
749	5815	32952
750	5822	32941
751	5828	32926
752	5836	32918
753	5842	32899
754	5847	32880
755	5855	32869
756	5861	32851
757	5867	32838
758	5874	32827
759	5881	32811
760	5888	32799
761	5894	32782
762	5901	32769
